"Country","Year","Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%)","Antenatal care coverage - at least four visits (%)","Births by caesarean section (%)","Births attended by skilled health personnel (%)"
"Republic of North Macedonia"," 2017","","","","99.9"
"Republic of North Macedonia"," 2011","22.3","","",""
"Republic of North Macedonia"," 2009-2011","","93.9","24.9",""
"Timor-Leste"," 2016","46.1","","",""
"Timor-Leste"," 2011-2016","","76.7","","56.7"
"Timor-Leste"," 2004-2010","","55.1","1.7",""
"Timor-Leste"," 1998-2003","","29.6","",""
"Togo"," 2014","32.1","","",""
"Togo"," 2008-2014","","57.2","6.5","44.6"
"Togo"," 2008-2010","","54.9","",""
"Togo"," 2000-2003","","53.5","",""
"Togo"," 1995-1998","","46.3","",""
"Tonga"," 2012","47.9","","",""
"Tonga"," 2007-2012","","70.4","17.4","95.5"
"Trinidad and Tobago"," 2017","","100.0","","100.0"
"Trinidad and Tobago"," 2016","","100.0","",""
"Trinidad and Tobago"," 2015","","100.0","",""
"Trinidad and Tobago"," 2014","","100.0","",""
"Trinidad and Tobago"," 2013","","100.0","",""
"Trinidad and Tobago"," 2012","","100.0","",""
"Trinidad and Tobago"," 2011","58.2","","",""
"Trinidad and Tobago"," 2007","","","18.4",""
"Tunisia"," 2012","73.2","","",""
"Tunisia"," 2009-2012","","85.1","26.7","73.6"
"Tunisia"," 2001-2006","","67.5","",""
"Tunisia"," 1999-2000","","57.3","",""
"Tunisia"," 1989-1995","","12.9","",""
"Turkey"," 2017","","","","98.0"
"Turkey"," 2013","59.7","","",""
"Turkey"," 2008-2013","","88.9","48.1",""
"Turkey"," 2003-2008","","73.7","",""
"Turkey"," 1998-2003","","53.9","",""
"Turkey"," 1993-1998","","42.0","",""
"Turkey"," 1988-1993","","35.9","",""
"Turkmenistan"," 2016","75.6","","",""
"Turkmenistan"," 2013-2016","","96.4","6.3","100.0"
"Turkmenistan"," 1995-2000","","82.8","",""
"Tuvalu"," 2007","41","","",""
"Tuvalu"," 2002-2007","","67.3","7.1","93.1"
"Uganda"," 2017","49.9","","",""
"Uganda"," 2011-2016","","59.9","","74.2"
"Uganda"," 2006-2011","","47.6","5.3",""
"Uganda"," 2001-2006","","47.2","",""
"Uganda"," 1995-2001","","41.9","",""
"Uganda"," 1991-1995","","47.2","",""
"Ukraine"," 2014","","","","99.9"
"Ukraine"," 2012","68","","",""
"Ukraine"," 2010-2012","","87.2","12.1",""
"Ukraine"," 2002-2007","","74.8","",""
"Ukraine"," 1994-1999","","91.0","",""
"United Arab Emirates"," 2015","","99.9","","99.9"
"United Arab Emirates"," 2014","","99.9","",""
"United Arab Emirates"," 2013","","99.9","23.9",""
"United Arab Emirates"," 1992-1995","","58.6","",""
"United Kingdom of Great Britain and Northern Ireland"," 2016-2017","","","31.2 27.8",""
"United Kingdom of Great Britain and Northern Ireland"," 2015-2016","","","25.6 29.9",""
"United Kingdom of Great Britain and Northern Ireland"," 1998","","","","99.0"
"United Republic of Tanzania"," 2016","52.9","","",""
"United Republic of Tanzania"," 2010-2016","","50.6","5.9","63.5"
"United Republic of Tanzania"," 2005-2010","","42.8","",""
"United Republic of Tanzania"," 1999-2004","","61.5","",""
"United Republic of Tanzania"," 1994-1999","","69.9","",""
"United Republic of Tanzania"," 1991-1996","","69.5","",""
"United Republic of Tanzania"," 1986-1992","","69.5","",""
"United States of America"," 2017","","","","99.1"
"United States of America"," 2015","","92.0","32.0",""
"United States of America"," 2014","","92.2","",""
"United States of America"," 2013","","93.6","",""
"United States of America"," 2012","","96.6","",""
"United States of America"," 2010","","96.6","",""
"Uruguay"," 2017","","96.5","","99.7"
"Uruguay"," 2015","","96.1","39.4",""
"Uruguay"," 2014","","95.9","",""
"Uruguay"," 2013","","95.4","",""
"Uruguay"," 2011-2013","","76.8","",""
"Uruguay"," 2012","","94.2","",""
"Uruguay"," 2011","","90.9","",""
"Uruguay"," 2010","","91.1","",""
"Uruguay"," 2009","","91.1","",""
"Uruguay"," 2008","","89.5","",""
"Uruguay"," 2007","","89.0","",""
"Uruguay"," 2006","","89.0","",""
"Uruguay"," 2005","","88.7","",""
"Uruguay"," 2004","","88.7","",""
"Uruguay"," 2003","","87.0","",""
"Uruguay"," 2002","","86.3","",""
"Uruguay"," 2001","","85.0","",""
"Uruguay"," 2000","","79.7","",""
"Uruguay"," 1999","","79.5","",""
"Uruguay"," 1997","","80.4","",""
"Uruguay"," 1996","","78.4","",""
"Uzbekistan"," 2015","","","13.6","100.0"
"Uzbekistan"," 1993-1996","","78.5","",""
"Vanuatu"," 2013","50.7","","",""
"Vanuatu"," 2008-2013","","51.8","11.9","89.4"
"Venezuela (Bolivarian Republic of)"," 2017","","83.8","","95.4"
"Venezuela (Bolivarian Republic of)"," 2016","","96.2","",""
"Venezuela (Bolivarian Republic of)"," 2014","","86.9","",""
"Venezuela (Bolivarian Republic of)"," 2012","","61.0","",""
"Venezuela (Bolivarian Republic of)"," 2011","","47.0","",""
"Venezuela (Bolivarian Republic of)"," 2009","","","32.2",""
"Viet Nam"," 2014","69.7","","",""
"Viet Nam"," 2011-2014","","73.7","27.5","93.8"
"Viet Nam"," 2009-2011","","59.6","",""
"Viet Nam"," 1999-2002","","29.3","",""
"Viet Nam"," 1994-1997","","15.2","",""
"Yemen"," 2013","46.9","","",""
"Yemen"," 2008-2013","","25.1","4.8","44.7"
"Yemen"," 2007-2012","","28.2","",""
"Yemen"," 1998-2003","","13.9","",""
"Yemen"," 1992-1997","","11.4","",""
"Zambia"," 2014","63.8","","",""
"Zambia"," 2008-2014","","55.5","4.4","63.3"
"Zambia"," 2002-2007","","60.3","",""
"Zambia"," 1996-2002","","71.6","",""
"Zambia"," 1991-1996","","71.3","",""
"Zambia"," 1987-1992","","68.5","",""
"Zimbabwe"," 2015","85.2","","",""
"Zimbabwe"," 2010-2015","","75.7","5.8","78.1"
"Zimbabwe"," 2012-2014","","70.1","",""
"Zimbabwe"," 2005-2011","","64.8","",""
"Zimbabwe"," 2007-2009","","56.8","",""
"Zimbabwe"," 2000-2006","","71.1","",""
"Zimbabwe"," 1994-1999","","64.3","",""
"Zimbabwe"," 1991-1994","","74.0","",""
